2025-11-19 16:42:11,964 | PID=3740723 | idx=92 | STEP=zarr_file_2 | open=4.1ms | read=48.1ms
2025-11-19 16:42:11,967 | PID=3740721 | idx=88 | STEP=zarr_file_2 | open=3.7ms | read=58.2ms
2025-11-19 16:42:11,968 | PID=3740724 | idx=96 | STEP=zarr_file_2 | open=5.7ms | read=46.6ms
2025-11-20 12:45:49,575 | PID=3821361 | idx=8 | STEP=zarr_file_0 | open=5.2ms | read=63.1ms
2025-11-20 12:45:49,580 | PID=3821359 | idx=0 | STEP=zarr_file_0 | open=37.1ms | read=45.5ms
2025-11-20 12:45:49,604 | PID=3821360 | idx=4 | STEP=zarr_file_0 | open=33.4ms | read=74.3ms
2025-11-20 12:45:49,621 | PID=3821363 | idx=12 | STEP=zarr_file_0 | open=54.5ms | read=51.6ms
2025-11-20 12:45:49,623 | PID=3821663 | idx=28 | STEP=zarr_file_0 | open=10.8ms | read=61.6ms
2025-11-20 12:45:49,624 | PID=3821616 | idx=24 | STEP=zarr_file_0 | open=13.8ms | read=59.1ms
2025-11-20 12:45:49,625 | PID=3821366 | idx=16 | STEP=zarr_file_0 | open=23.8ms | read=66.0ms
2025-11-20 12:45:49,649 | PID=3821994 | idx=48 | STEP=zarr_file_0 | open=11.1ms | read=44.5ms
2025-11-20 12:45:49,650 | PID=3821361 | idx=8 | STEP=zarr_file_1 | open=4.1ms | read=70.2ms
2025-11-20 12:45:49,651 | PID=3821680 | idx=32 | STEP=zarr_file_0 | open=14.0ms | read=77.8ms
2025-11-20 12:45:49,654 | PID=3821805 | idx=36 | STEP=zarr_file_0 | open=18.0ms | read=61.1ms
2025-11-20 12:45:49,655 | PID=3821359 | idx=0 | STEP=zarr_file_1 | open=18.4ms | read=55.5ms
2025-11-20 12:45:49,658 | PID=3821360 | idx=4 | STEP=zarr_file_1 | open=3.0ms | read=49.6ms
2025-11-20 12:45:49,660 | PID=3821429 | idx=20 | STEP=zarr_file_0 | open=65.7ms | read=59.1ms
2025-11-20 12:45:49,663 | PID=3821931 | idx=44 | STEP=zarr_file_0 | open=22.2ms | read=57.4ms
2025-11-20 12:45:49,665 | PID=3822057 | idx=52 | STEP=zarr_file_0 | open=7.0ms | read=50.6ms
2025-11-20 12:45:49,668 | PID=3821930 | idx=40 | STEP=zarr_file_0 | open=21.3ms | read=63.4ms
2025-11-20 12:45:49,678 | PID=3821663 | idx=28 | STEP=zarr_file_1 | open=3.1ms | read=50.4ms
2025-11-20 12:45:49,678 | PID=3821363 | idx=12 | STEP=zarr_file_1 | open=4.4ms | read=51.7ms
2025-11-20 12:45:49,683 | PID=3821366 | idx=16 | STEP=zarr_file_1 | open=3.6ms | read=54.6ms
2025-11-20 12:45:49,687 | PID=3821616 | idx=24 | STEP=zarr_file_1 | open=3.9ms | read=58.4ms
2025-11-20 12:45:49,699 | PID=3821994 | idx=48 | STEP=zarr_file_1 | open=3.0ms | read=46.8ms
2025-11-20 12:45:49,704 | PID=3821805 | idx=36 | STEP=zarr_file_1 | open=2.9ms | read=46.6ms
2025-11-20 12:45:49,707 | PID=3821429 | idx=20 | STEP=zarr_file_1 | open=3.3ms | read=42.7ms
2025-11-20 12:45:49,707 | PID=3821360 | idx=4 | STEP=zarr_file_2 | open=5.0ms | read=44.1ms
2025-11-20 12:45:49,708 | PID=3821931 | idx=44 | STEP=zarr_file_1 | open=3.0ms | read=41.6ms
2025-11-20 12:45:49,709 | PID=3821361 | idx=8 | STEP=zarr_file_2 | open=3.4ms | read=55.0ms
